v1,v2
ham,"Hi there! How are you?"
spam,"WINNER! You have won a $1000 Walmart gift card. Click here to claim."
ham,"Are you coming to the party?"
spam,"Claim your free prize by texting 12345 now!"
ham,"Don't forget the meeting at 10 AM."
spam,"Congratulations, you've been selected for a $500 Amazon voucher."
ham,"Let’s catch up soon."
spam,"URGENT! Your account has been suspended. Click the link to verify now."
ham,"Good luck on your exam today!"
spam,"You've won a free vacation! Reply YES to claim."
